游戏名称,批评空间链接,图片链接,会社,游戏官网,中央值,平均值,标准偏差,评论数
ランス10,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=20764#ad,https://pics.dmm.co.jp/digital/pcgame/alice_0046/alice_0046ps.jpg,ALICESOFT,https://www.alicesoft.com/rance10/,99,92.99,14,983
マブラヴ オルタネイティヴ 全年齢版,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=7965#ad,https://www.suruga-ya.jp/pics/boxart_m/145014726m.jpg,âge(age),http://www.muvluv.com/product02_alt/index.htm,97,92.50,12,332
WHITE ALBUM2 EXTENDED EDITION,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=26206#ad,https://pics.dmm.co.jp/mono/game/863apc12197/863apc12197ps.jpg,Leaf,https://leaf.aquaplus.jp/product/wa2cc/product.html,95,92.06,12,648
Ever17 -the out of infinity- Premium Edition,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5737#ad,https://www.suruga-ya.jp/pics/boxart_m/144001533m.jpg,KID,None,95,89.33,14,302
WHITE ALBUM2 幸せの向こう側,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=18010#ad,https://www.suruga-ya.jp/pics/boxart_m/103300059m.jpg,AQUAPLUS,https://aquaplus.jp/wa2/,95,90.86,14,119
WHITE ALBUM2 ～closing chapter～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=13255#ad,https://pics.dmm.co.jp/digital/pcgame/aquap_0019/aquap_0019ps.jpg,Leaf,https://leaf.aquaplus.jp/product/wa2cc/,94,89.58,14,2554
マブラヴ オルタネイティヴ,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=4286#ad,https://www.suruga-ya.jp/pics/boxart_m/145014104m.jpg,âge(age),http://www.muvluv.com/alternative/index.htm,93,89.14,14,3413
この世の果てで恋を唄う少女YU-NO,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2093#ad,https://pics.dmm.co.jp/digital/pcgame/fanzagames_0054/fanzagames_0054ps.jpg,elf,https://fanzagames-digination.com/yu-no/,93,89.58,13,1199
Steins;Gate,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=12797#ad,https://www.suruga-ya.jp/pics/boxart_m/101000660m.jpg,MAGES.(5pb.),http://steinsgate.jp/,93,90.48,11,497
サクラノ刻 -櫻の森の下を歩む-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=25169#ad,https://pics.dmm.co.jp/digital/pcgame/mnphs_0014/mnphs_0014ps.jpg,枕,https://www.makura-soft.com/sakuranotoki/,92,88.84,14,939
この世の果てで恋を唄う少女YU-NO,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5374#ad,https://www.suruga-ya.jp/pics/boxart_m/141000904m.jpg,elf,http://yu-no.jp/introduction/,92,89.69,11,286
素晴らしき日々 ～不連続存在～ フルボイスHD版,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=26680#ad,https://pics.dmm.co.jp/digital/pcgame/mnphs_0011/mnphs_0011ps.jpg,ケロQ,https://www.keroq.co.jp/suba_fhd/,91,89.27,11,813
Ever17 -the out of infinity-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5432#ad,https://www.suruga-ya.jp/pics/boxart_m/144000714m.jpg,KID,None,91,89.43,12,465
